,diff,pcr,optionSignal,vWap,price,vWapSignal,time,call,put,date
0,"{'value': '-4355445', 'colorCode': 2}","{'value': '0.70', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '45659.00', 'colorCode': 0}","{'value': '45605', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1255,14476800,10121355,28/07/2023
1,"{'value': '-3993795', 'colorCode': 2}","{'value': '0.70', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '45672.00', 'colorCode': 0}","{'value': '45611', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1155,13153035,9159240,28/07/2023
2,"{'value': '-1409910', 'colorCode': 2}","{'value': '0.79', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '45692.00', 'colorCode': 0}","{'value': '45678', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",930,6809040,5399130,28/07/2023
3,"{'value': '-2724015', 'colorCode': 2}","{'value': '0.71', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '45694.00', 'colorCode': 0}","{'value': '45669', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",940,9531465,6807450,28/07/2023
4,"{'value': '-2724015', 'colorCode': 2}","{'value': '0.71', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '45694.00', 'colorCode': 0}","{'value': '45689', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",945,9531465,6807450,28/07/2023
5,"{'value': '-2612610', 'colorCode': 2}","{'value': '0.73', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '45694.00', 'colorCode': 0}","{'value': '45684', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",950,9633990,7021380,28/07/2023
6,"{'value': '-2483250', 'colorCode': 2}","{'value': '0.76', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '45693.00', 'colorCode': 0}","{'value': '45726', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",955,10263315,7780065,28/07/2023
7,"{'value': '-2094960', 'colorCode': 2}","{'value': '0.79', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '45694.00', 'colorCode': 0}","{'value': '45691', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1000,10057845,7962885,28/07/2023
8,"{'value': '-2058390', 'colorCode': 2}","{'value': '0.80', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '45694.00', 'colorCode': 0}","{'value': '45690', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1005,10299465,8241075,28/07/2023
9,"{'value': '-2157180', 'colorCode': 2}","{'value': '0.80', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '45693.00', 'colorCode': 0}","{'value': '45658', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1010,10765740,8608560,28/07/2023
10,"{'value': '-2475315', 'colorCode': 2}","{'value': '0.78', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '45692.00', 'colorCode': 0}","{'value': '45644', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1015,11201595,8726280,28/07/2023
11,"{'value': '-2996475', 'colorCode': 2}","{'value': '0.75', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '45691.00', 'colorCode': 0}","{'value': '45666', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1020,11780205,8783730,28/07/2023
12,"{'value': '-3356670', 'colorCode': 2}","{'value': '0.72', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '45684.00', 'colorCode': 0}","{'value': '45615', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1025,12126390,8769720,28/07/2023
13,"{'value': '-4136235', 'colorCode': 2}","{'value': '0.66', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '45683.00', 'colorCode': 0}","{'value': '45660', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1030,12279795,8143560,28/07/2023
14,"{'value': '-4036890', 'colorCode': 2}","{'value': '0.67', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '45683.00', 'colorCode': 0}","{'value': '45644', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1035,12402495,8365605,28/07/2023
15,"{'value': '-3898305', 'colorCode': 2}","{'value': '0.69', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '45683.00', 'colorCode': 0}","{'value': '45666', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1040,12515820,8617515,28/07/2023
16,"{'value': '-3314085', 'colorCode': 2}","{'value': '0.73', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '45682.00', 'colorCode': 0}","{'value': '45672', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1045,12354135,9040050,28/07/2023
17,"{'value': '-3211050', 'colorCode': 2}","{'value': '0.74', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '45683.00', 'colorCode': 0}","{'value': '45715', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",1050,12287475,9076425,28/07/2023
18,"{'value': '-3173340', 'colorCode': 2}","{'value': '0.73', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '45683.00', 'colorCode': 0}","{'value': '45711', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",1055,11790750,8617410,28/07/2023
19,"{'value': '-2888220', 'colorCode': 2}","{'value': '0.76', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '45683.00', 'colorCode': 0}","{'value': '45660', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1100,11807310,8919090,28/07/2023
20,"{'value': '-2761995', 'colorCode': 2}","{'value': '0.77', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '45683.00', 'colorCode': 0}","{'value': '45694', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",1105,11781765,9019770,28/07/2023
21,"{'value': '-2578215', 'colorCode': 2}","{'value': '0.78', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '45684.00', 'colorCode': 0}","{'value': '45708', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",1110,11823540,9245325,28/07/2023
22,"{'value': '-2574600', 'colorCode': 2}","{'value': '0.78', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '45684.00', 'colorCode': 0}","{'value': '45662', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1115,11972610,9398010,28/07/2023
23,"{'value': '-2185680', 'colorCode': 2}","{'value': '0.82', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '45682.00', 'colorCode': 0}","{'value': '45627', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1120,12038835,9853155,28/07/2023
24,"{'value': '-2540760', 'colorCode': 2}","{'value': '0.79', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '45681.00', 'colorCode': 0}","{'value': '45647', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1125,12151845,9611085,28/07/2023
25,"{'value': '-3705120', 'colorCode': 2}","{'value': '0.71', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '45681.00', 'colorCode': 0}","{'value': '45666', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1130,12803505,9098385,28/07/2023
