,Date,Open,High,Low,Close,Adj Close,Volume
,Date,Open,High,Low,Close,Adj Close,Volume
0,2022-06-01,16594.400391,16649.199219,16438.849609,16522.75,16522.75,249600
0,2022-07-01,33264.75,33666.5,33080.449219,33539.449219,33539.058594,149900.0
1,2022-06-02,16481.650391,16646.400391,16443.050781,16628.0,16628.0,236000
1,2022-07-04,33558.851563,33978.5,33515.601563,33940.898438,33940.503906,152600.0
2,2022-06-03,16761.650391,16793.849609,16567.900391,16584.300781,16584.300781,245500
2,2022-07-05,34084.699219,34361.050781,33757.0,33815.898438,33815.503906,115000.0
3,2022-06-06,16530.699219,16610.949219,16444.550781,16569.550781,16569.550781,233600
3,2022-07-06,33929.398438,34388.5,33876.148438,34324.25,34323.851563,122700.0
4,2022-06-07,16469.599609,16487.25,16347.099609,16416.349609,16416.349609,233800
4,2022-07-07,34627.398438,34965.75,34553.101563,34920.300781,34919.894531,184000.0
5,2022-06-08,16474.949219,16514.300781,16293.349609,16356.25,16356.25,243500
5,2022-07-08,35258.898438,35262.101563,34977.75,35124.050781,35123.640625,109000.0
6,2022-06-09,16263.849609,16492.800781,16243.849609,16478.099609,16478.099609,205000
6,2022-07-11,35017.601563,35543.101563,35006.550781,35469.648438,35469.234375,130600.0
7,2022-06-10,16283.950195,16324.700195,16172.599609,16201.799805,16201.799805,189700
7,2022-07-12,35298.699219,35419.648438,35047.5,35132.25,35131.839844,113400.0
8,2022-06-13,15877.549805,15886.150391,15684.0,15774.400391,15774.400391,225500
8,2022-07-13,35259.800781,35308.148438,34757.601563,34827.800781,34827.394531,103400.0
9,2022-06-14,15674.25,15858.0,15659.450195,15732.099609,15732.099609,225400
9,2022-07-14,34817.949219,35027.601563,34558.449219,34651.199219,34650.796875,121300.0
10,2022-06-15,15729.25,15783.650391,15678.900391,15692.150391,15692.150391,183000
10,2022-07-15,34734.449219,34899.949219,34463.898438,34682.648438,34682.246094,99100.0
11,2022-06-16,15832.25,15863.150391,15335.099609,15360.599609,15360.599609,264700
11,2022-07-18,34841.851563,35382.5,34804.398438,35358.699219,35358.289063,146600.0
12,2022-06-17,15272.650391,15400.400391,15183.400391,15293.5,15293.5,342600
12,2022-07-19,35113.25,35761.648438,35110.5,35720.351563,35719.9375,183400.0
13,2022-06-20,15334.5,15382.5,15191.099609,15350.150391,15350.150391,260000
13,2022-07-20,36061.300781,36182.699219,35876.550781,35972.101563,35971.683594,173400.0
14,2022-06-21,15455.950195,15707.25,15419.849609,15638.799805,15638.799805,262800
14,2022-07-21,36026.550781,36331.699219,35887.351563,36201.0,36200.578125,153800.0
15,2022-06-22,15545.650391,15565.400391,15385.950195,15413.299805,15413.299805,220900
15,2022-07-22,36322.898438,36823.449219,36286.351563,36738.949219,36738.523438,143600.0
16,2022-06-23,15451.549805,15628.450195,15367.5,15556.650391,15556.650391,259200
16,2022-07-25,36766.699219,37011.199219,36464.648438,36726.398438,36725.972656,139700.0
17,2022-06-24,15657.400391,15749.25,15619.450195,15699.25,15699.25,219600
17,2022-07-26,36688.550781,36695.75,36334.101563,36408.5,36408.078125,114000.0
18,2022-06-27,15926.200195,15927.450195,15815.5,15832.049805,15832.049805,210900
18,2022-07-27,36370.550781,36808.300781,36248.601563,36783.75,36783.324219,113100.0
19,2022-06-28,15757.450195,15892.099609,15710.150391,15850.200195,15850.200195,251900
19,2022-07-28,37102.449219,37414.398438,37028.5,37378.148438,37377.714844,172500.0
20,2022-06-29,15701.700195,15861.599609,15687.799805,15799.099609,15799.099609,444900
20,2022-07-29,37717.300781,37754.648438,37221.148438,37491.398438,37490.960938,166900.0
21,2022-06-30,15774.5,15890.0,15728.849609,15780.25,15780.25,306000
21,2022-08-01,37594.148438,37939.601563,37407.199219,37903.199219,37902.757813,346400.0
22,2022-07-01,15703.700195,15793.950195,15511.049805,15752.049805,15752.049805,364100
22,2022-08-02,37767.699219,38179.851563,37632.300781,38024.0,38023.558594,317300.0
23,2022-07-04,15710.5,15852.349609,15661.799805,15835.349609,15835.349609,304300
23,2022-08-03,37954.550781,38068.601563,37692.949219,37989.25,37988.808594,200300.0
24,2022-07-05,15909.150391,16025.75,15785.450195,15810.849609,15810.849609,254200
24,2022-08-04,38111.050781,38231.851563,37249.5,37755.550781,37755.113281,186300.0
