index,Name,Date,Open,High,Low,Close,Adj Close,Volume
0,Nifty,2022-06-01,16594.400391,16649.199219,16438.849609,16522.75,16522.75,249600
0,Bank Nifty,2022-07-01,33264.75,33666.5,33080.449219,33539.449219,33539.058594,149900.0
0,Fin Nifty,2022-06-01,16419.949219,16579.0,16368.599609,16502.300781,16502.300781,612800.0
1,Nifty,2022-06-02,16481.650391,16646.400391,16443.050781,16628.0,16628.0,236000
1,Bank Nifty,2022-07-04,33558.851563,33978.5,33515.601563,33940.898438,33940.503906,152600.0
1,Fin Nifty,2022-06-02,16436.5,16468.75,16349.549805,16447.400391,16447.400391,578100.0
2,Nifty,2022-06-03,16761.650391,16793.849609,16567.900391,16584.300781,16584.300781,245500
2,Bank Nifty,2022-07-05,34084.699219,34361.050781,33757.0,33815.898438,33815.503906,115000.0
2,Fin Nifty,2022-06-03,16593.599609,16615.0,16290.299805,16330.400391,16330.400391,560600.0
3,Nifty,2022-06-06,16530.699219,16610.949219,16444.550781,16569.550781,16569.550781,233600
3,Bank Nifty,2022-07-06,33929.398438,34388.5,33876.148438,34324.25,34323.851563,122700.0
3,Fin Nifty,2022-06-06,16258.150391,16382.450195,16218.049805,16324.599609,16324.599609,560800.0
4,Nifty,2022-06-07,16469.599609,16487.25,16347.099609,16416.349609,16416.349609,233800
4,Bank Nifty,2022-07-07,34627.398438,34965.75,34553.101563,34920.300781,34919.894531,184000.0
4,Fin Nifty,2022-06-07,16202.700195,16225.650391,16075.25,16152.0,16152.0,505000.0
5,Nifty,2022-06-08,16474.949219,16514.300781,16293.349609,16356.25,16356.25,243500
5,Bank Nifty,2022-07-08,35258.898438,35262.101563,34977.75,35124.050781,35123.640625,109000.0
5,Fin Nifty,2022-06-08,16237.950195,16345.950195,16063.400391,16146.799805,16146.799805,671100.0
6,Nifty,2022-06-09,16263.849609,16492.800781,16243.849609,16478.099609,16478.099609,205000
6,Bank Nifty,2022-07-11,35017.601563,35543.101563,35006.550781,35469.648438,35469.234375,130600.0
6,Fin Nifty,2022-06-09,16060.25,16232.299805,16024.799805,16209.849609,16209.849609,490900.0
7,Nifty,2022-06-10,16283.950195,16324.700195,16172.599609,16201.799805,16201.799805,189700
7,Bank Nifty,2022-07-12,35298.699219,35419.648438,35047.5,35132.25,35131.839844,113400.0
7,Fin Nifty,2022-06-10,16027.349609,16053.549805,15808.700195,15847.299805,15847.299805,514700.0
8,Nifty,2022-06-13,15877.549805,15886.150391,15684.0,15774.400391,15774.400391,225500
8,Bank Nifty,2022-07-13,35259.800781,35308.148438,34757.601563,34827.800781,34827.394531,103400.0
8,Fin Nifty,2022-06-13,15482.299805,15504.400391,15276.099609,15356.400391,15356.400391,680800.0
9,Nifty,2022-06-14,15674.25,15858.0,15659.450195,15732.099609,15732.099609,225400
9,Bank Nifty,2022-07-14,34817.949219,35027.601563,34558.449219,34651.199219,34650.796875,121300.0
9,Fin Nifty,2022-06-14,15230.650391,15438.450195,15217.25,15292.150391,15292.150391,631800.0
10,Nifty,2022-06-15,15729.25,15783.650391,15678.900391,15692.150391,15692.150391,183000
10,Bank Nifty,2022-07-15,34734.449219,34899.949219,34463.898438,34682.648438,34682.246094,99100.0
10,Fin Nifty,2022-06-15,15283.700195,15407.650391,15251.700195,15333.299805,15333.299805,543300.0
11,Nifty,2022-06-16,15832.25,15863.150391,15335.099609,15360.599609,15360.599609,264700
11,Bank Nifty,2022-07-18,34841.851563,35382.5,34804.398438,35358.699219,35358.289063,146600.0
11,Fin Nifty,2022-06-16,15461.450195,15515.799805,14970.900391,15002.0,15002.0,661900.0
12,Nifty,2022-06-17,15272.650391,15400.400391,15183.400391,15293.5,15293.5,342600
12,Bank Nifty,2022-07-19,35113.25,35761.648438,35110.5,35720.351563,35719.9375,183400.0
12,Fin Nifty,2022-06-17,14882.099609,15136.599609,14857.299805,15059.299805,15059.299805,843600.0
13,Nifty,2022-06-20,15334.5,15382.5,15191.099609,15350.150391,15350.150391,260000
13,Bank Nifty,2022-07-20,36061.300781,36182.699219,35876.550781,35972.101563,35971.683594,173400.0
13,Fin Nifty,2022-06-20,15116.950195,15234.400391,14995.349609,15203.950195,15203.950195,641800.0
14,Nifty,2022-06-21,15455.950195,15707.25,15419.849609,15638.799805,15638.799805,262800
14,Bank Nifty,2022-07-21,36026.550781,36331.699219,35887.351563,36201.0,36200.578125,153800.0
14,Fin Nifty,2022-06-21,15327.950195,15588.200195,15251.150391,15436.349609,15436.349609,679100.0
15,Nifty,2022-06-22,15545.650391,15565.400391,15385.950195,15413.299805,15413.299805,220900
15,Bank Nifty,2022-07-22,36322.898438,36823.449219,36286.351563,36738.949219,36738.523438,143600.0
15,Fin Nifty,2022-06-22,15367.950195,15393.599609,15242.349609,15271.450195,15271.450195,481800.0
16,Nifty,2022-06-23,15451.549805,15628.450195,15367.5,15556.650391,15556.650391,259200
16,Bank Nifty,2022-07-25,36766.699219,37011.199219,36464.648438,36726.398438,36725.972656,139700.0
16,Fin Nifty,2022-06-23,15300.700195,15498.75,15179.599609,15391.650391,15391.650391,654500.0
17,Nifty,2022-06-24,15657.400391,15749.25,15619.450195,15699.25,15699.25,219600
17,Bank Nifty,2022-07-26,36688.550781,36695.75,36334.101563,36408.5,36408.078125,114000.0
17,Fin Nifty,2022-06-24,15500.549805,15648.450195,15494.849609,15595.5,15595.5,557800.0
18,Nifty,2022-06-27,15926.200195,15927.450195,15815.5,15832.049805,15832.049805,210900
18,Bank Nifty,2022-07-27,36370.550781,36808.300781,36248.601563,36783.75,36783.324219,113100.0
18,Fin Nifty,2022-06-27,15826.349609,15826.5,15629.900391,15651.0,15651.0,515300.0
19,Nifty,2022-06-28,15757.450195,15892.099609,15710.150391,15850.200195,15850.200195,251900
